chunk_id,text_id,head,relation,tail,text
Due-datasheet::c2,2,Arduino Due,combines,Atmel SAM3X8E microcontroller,"The Arduino Due combines the performance of the Atmel SAM3X8E microcontroller with the flexibility of the Arduino platform, offering a versatile solution for developers, hobbyists, and professionals alike."
Due-datasheet::c2,2,Arduino Due,provides,flexibility,"The Arduino Due combines the performance of the Atmel SAM3X8E microcontroller with the flexibility of the Arduino platform, offering a versatile solution for developers, hobbyists, and professionals alike."
Due-datasheet::c2,2,Arduino Due,has_architecture,32-bit,"With its 32-bit architecture and clock speed of 84 MHz, the Due delivers robust performance for demanding applications."
Due-datasheet::c2,2,Arduino Due,has_clock_speed,84 MHz,"With its 32-bit architecture and clock speed of 84 MHz, the Due delivers robust performance for demanding applications."
Due-datasheet::c2,2,Arduino Due,delivers,robust performance,"With its 32-bit architecture and clock speed of 84 MHz, the Due delivers robust performance for demanding applications."
Due-datasheet::c2,2,Arduino Due,is_used_for,embedded systems development,"The Arduino Due can be utilized to create a real-time data acquisition system for monitoring and analyzing environmental parameters in industrial settings."
Due-datasheet::c2,2,Arduino Due,can_interface_with,temperature sensors,"By interfacing sensors such as temperature, humidity, and pressure sensors with the Due's abundant I/O pins..."
Due-datasheet::c2,2,Arduino Due,can_interface_with,humidity sensors,"By interfacing sensors such as temperature, humidity, and pressure sensors with the Due's abundant I/O pins..."
Due-datasheet::c2,2,Arduino Due,can_interface_with,pressure sensors,"By interfacing sensors such as temperature, humidity, and pressure sensors with the Due's abundant I/O pins..."
Due-datasheet::c2,2,Arduino Due,used_for,data acquisition,"The Arduino Due can be utilized to create a real-time data acquisition system for monitoring and analyzing environmental parameters..."
Due-datasheet::c2,2,Arduino Due,can_transmit_data_via,USB,"The system can then transmit this data wirelessly or via USB to a host computer for analysis..."
Due-datasheet::c2,2,Arduino Due,can_transmit_data_wirelessly,True,"The system can then transmit this data wirelessly or via USB to a host computer for analysis..."
Due-datasheet::c2,2,Arduino Due,used_for,robotics,"The Arduino Due can serve as the brain of an autonomous mobile robot capable of navigating and interacting with its environment."
Due-datasheet::c2,2,Arduino Due,can_interface_with,ultrasonic sensors,"By integrating sensors such as ultrasonic range finders, gyroscopes, and encoders..."
Due-datasheet::c2,2,Arduino Due,can_interface_with,gyroscopes,"By integrating sensors such as ultrasonic range finders, gyroscopes, and encoders..."
Due-datasheet::c2,2,Arduino Due,can_interface_with,encoders,"By integrating sensors such as ultrasonic range finders, gyroscopes, and encoders..."
Due-datasheet::c2,2,Arduino Due,enables,autonomous navigation,"Using the Due's abundant I/O pins and powerful processing capabilities, algorithms for localization, mapping, and path planning can be implemented..."
Due-datasheet::c2,2,Arduino Due,controls,motors,"Additionally, actuators such as motors or servos can be controlled by the Due..."
Due-datasheet::c2,2,Arduino Due,controls,servos,"Additionally, actuators such as motors or servos can be controlled by the Due..."
Due-datasheet::c2,2,Arduino Due,used_for,3D printing,"The Arduino Due can function as a versatile controller for DIY projects... create their own 3D printers or CNC machines."
Due-datasheet::c2,2,Arduino Due,used_for,CNC machines,"The Arduino Due can function as a versatile controller for DIY projects... create their own 3D printers or CNC machines."
Due-datasheet::c2,2,Arduino Due,can_interface_with,stepper motor drivers,"By interfacing stepper motor drivers and end-stop switches with the Due's numerous I/O pins..."
Due-datasheet::c2,2,Arduino Due,can_interface_with,end-stop switches,"By interfacing stepper motor drivers and end-stop switches with the Due's numerous I/O pins..."
Due-datasheet::c2,2,Arduino Due,enables,precise motor control,"The Due's high-speed processing capabilities enable precise control of stepper motors for accurate positioning and movement."
Due-datasheet::c2,2,Arduino Due,used_for,IoT prototyping,"The Arduino Due serves as an invaluable tool for quickly iterating and testing new ideas for IoT devices."
Due-datasheet::c2,2,Arduino Due,compatible_with,sensors,"By leveraging the Due's extensive I/O capabilities and compatibility with various sensors..."
Due-datasheet::c2,2,Arduino Due,compatible_with,communication modules,"By leveraging the Due's extensive I/O capabilities and compatibility with various sensors, communication modules..."
Due-datasheet::c2,2,Arduino Due,compatible_with,actuators,"By leveraging the Due's extensive I/O capabilities and compatibility with various sensors, communication modules, and actuators..."
Due-datasheet::c2,2,Arduino Due,supports,Arduino libraries,"With the Due's support for Arduino libraries and easy-to-use development environment..."
Due-datasheet::c2,2,Arduino Due,used_for,rapid prototyping,"With the Due's support for Arduino libraries and easy-to-use development environment, prototypers can focus on innovation and experimentation..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,used_for,light controller,"1.1 Application Examples Light controller: Control your house lightning with the MKR IoT Carrier Rev2, using the RGB light sensor..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,uses,RGB light sensor,"Light controller: Control your house lightning with the MKR IoT Carrier Rev2, using the RGB light sensor."
MKR IoT Carrier Rev2-datasheet::c3,3,RGB light sensor,measures,ambient light,"This feature identifies the general amount of light in a room or environment and adapts."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,connects_to,Wi-Fi,"If the board is connected to Wi-Fi®, you can manage and control your device remotely..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,is_controlled_via,Arduino Cloud,"...you can manage and control your device remotely on a smartphone via the Arduino Cloud."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,used_for,greenhouse climate control,"Light and water controller for greenhouse: With moisture sensor, pressure sensor and temperature..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,uses,moisture sensor,"With moisture sensor, pressure sensor and temperature the MKR IoT Carrier Rev2 can evaluate..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,uses,pressure sensor,"With moisture sensor, pressure sensor and temperature the MKR IoT Carrier Rev2 can evaluate..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,uses,temperature sensor,"With moisture sensor, pressure sensor and temperature the MKR IoT Carrier Rev2 can evaluate..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,evaluates,soil moisture,"...recognize the moisture of the soil, depending on air humidity and sun."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,controls,heaters,"Through the various sensors, it can reconstruate suitable climate with the help of heaters and relays..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,controls,relays,"Through the various sensors, it can reconstruate suitable climate with the help of heaters and relays..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,used_for,watering system,"It can also be programmed with a watering system thanks to the relays."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,used_for,weather station,"Weather station: With temperature sensor, pressure sensor, humidity sensor and light sensors..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,uses,humidity sensor,"Weather station: With temperature sensor, pressure sensor, humidity sensor..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,uses,light sensors,"Weather station: With temperature sensor, pressure sensor, humidity sensor and light sensors..."
MKR IoT Carrier Rev2-datasheet::c3,3,MKR IoT Carrier Rev2,collects,weather statistics,"The various sensors can collect statistics about the different variables required to display weather."
